,Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,Price
6691,Hyundai,Creta,2017.0,7.0,58212.0,Automatic,first,Diesel,825000.0
6692,Maruti Suzuki,Wagon-R,2017.0,7.0,59000.0,Manual,second,Hybrid/CNG,320000.0
6693,Maruti Suzuki,Eeco,2018.0,6.0,180000.0,Automatic,first,Hybrid/CNG,351000.0
6694,Tata,tata-punch,2022.0,2.0,43000.0,Manual,first,Hybrid/CNG,695000.0
6695,Maruti Suzuki,Eeco,2019.0,5.0,49000.0,Manual,second,Hybrid/CNG,450000.0
6696,Mahindra,Bolero,2013.0,11.0,57450.0,Manual,first,Diesel,385000.0
6697,Maruti Suzuki,Wagon-R,2013.0,11.0,808.0,Automatic,second,Hybrid/CNG,240000.0
6698,Maruti Suzuki,Wagon-R,2011.0,13.0,79.0,Manual,second,Petrol,275000.0
6699,Tata,Nano,2016.0,8.0,72000.0,Manual,second,Hybrid/CNG,200000.0
6700,Mahindra,TUV 300,2015.0,9.0,79900.0,Automatic,first,Diesel,575000.0
6701,Maruti Suzuki,Ertiga,2023.0,1.0,32000.0,Manual,first,Hybrid/CNG,1171000.0
6702,Maruti Suzuki,Wagon-R-1-0,2021.0,3.0,42000.0,Manual,first,Hybrid/CNG,515000.0
6703,Maruti Suzuki,Ritz,2014.0,10.0,86000.0,Manual,second,Hybrid/CNG,335000.0
6704,Hyundai,EON,2016.0,8.0,23000.0,Manual,first,Petrol,270000.0
6705,Toyota,Innova,2013.0,11.0,250000.0,Manual,second,Diesel,799999.0
6706,Hyundai,Verna,2012.0,12.0,77000.0,Manual,first,Petrol,390000.0
6707,Volvo,S60,2012.0,12.0,45000.0,Automatic,second,Diesel,1300000.0
6708,Hyundai,Elite i20,2019.0,5.0,75000.0,Manual,first,Hybrid/CNG,595000.0
6709,Maruti Suzuki,Vitara-Brezza,2019.0,5.0,70737.0,Automatic,second,Diesel,811000.0
6710,Maruti Suzuki,Eeco,2015.0,9.0,71455.0,Manual,first,Hybrid/CNG,365000.0
6711,Mercedes-Benz,GLA Class,2019.0,5.0,40000.0,Automatic,second,Diesel,2000000.0
6712,Mahindra,XUV500,2018.0,6.0,71000.0,Manual,first,Diesel,945000.0
6713,Hyundai,Verna,2010.0,14.0,18.0,Automatic,second,Hybrid/CNG,105000.0
6714,Jeep,Compass,2018.0,6.0,80000.0,Manual,first,Diesel,980000.0
6715,Honda,City,2013.0,11.0,90000.0,Manual,first,Petrol,375000.0
6716,Audi,A6,2013.0,11.0,125000.0,Automatic,second,Diesel,900000.0
6717,Honda,Amaze,2018.0,6.0,42000.0,Manual,second,Diesel,375000.0
6718,Honda,Amaze,2018.0,6.0,77000.0,Manual,first,Diesel,550000.0
6719,Maruti Suzuki,Celerio,2019.0,5.0,68000.0,Automatic,second,Petrol,425000.0
6720,Maruti Suzuki,Eeco,2018.0,6.0,77738.0,Manual,second,Hybrid/CNG,490000.0
6721,Maruti Suzuki,Swift-Dzire,2019.0,5.0,106000.0,Manual,first,Diesel,580000.0
6722,Kia,Sonet,2021.0,3.0,81236.0,Automatic,first,Petrol,970000.0
6723,Hyundai,Creta,2016.0,8.0,71000.0,Manual,first,Hybrid/CNG,690000.0
6724,Maruti Suzuki,Wagon-R,2015.0,9.0,90000.0,Automatic,second,Hybrid/CNG,275000.0
6725,Maruti Suzuki,Baleno,2017.0,7.0,102000.0,Manual,second,Petrol,540000.0
6726,BMW,3 Series,2012.0,12.0,80000.0,Automatic,second,Diesel,650000.0
6727,Maruti Suzuki,Swift-Dzire,2013.0,11.0,98000.0,Manual,first,Diesel,385000.0
6728,Volkswagen,Tiguan,2018.0,6.0,93173.0,Automatic,first,Diesel,1950000.0
6729,Force,Motors FM Force One Test,2016.0,8.0,700000.0,Automatic,first,Hybrid/CNG,560000.0
6730,Honda,Brio,2013.0,11.0,81000.0,Automatic,first,Hybrid/CNG,320000.0
6731,Maruti Suzuki,Celerio,2019.0,5.0,71000.0,Manual,second,Hybrid/CNG,450000.0
6732,Toyota,Innova,2010.0,14.0,288000.0,Manual,second,Diesel,699000.0
6733,Tata,Nano,2011.0,13.0,29.0,Automatic,second,Petrol,45000.0
6734,Maruti Suzuki,Wagon-R,2015.0,9.0,72147.0,Automatic,second,Hybrid/CNG,210000.0
6735,Toyota,Innova,2013.0,11.0,125000.0,Manual,second,Diesel,1075000.0
6736,Maruti Suzuki,Ertiga,2020.0,4.0,65846.0,Manual,first,Hybrid/CNG,870000.0
6737,Maruti Suzuki,Swift,2018.0,6.0,36000.0,Automatic,first,Petrol,665000.0
6738,Maruti Suzuki,Celerio,2017.0,7.0,35000.0,Automatic,first,Hybrid/CNG,450000.0
6739,Honda,Brio,2014.0,10.0,76000.0,Manual,second,Hybrid/CNG,233000.0
6740,Ford,Fiesta,2008.0,16.0,158000.0,Automatic,second,Petrol,120000.0
6741,Maruti Suzuki,Swift,2022.0,2.0,40000.0,Automatic,first,Petrol,775000.0
6742,Honda,City,2016.0,8.0,141000.0,Manual,second,Diesel,610000.0
6743,Mahindra,Verito,2012.0,12.0,220000.0,Manual,second,Diesel,240000.0
6744,Skoda,Laura,2010.0,14.0,82000.0,Manual,first,Diesel,475000.0
6745,Hyundai,Grand i10,2016.0,8.0,58000.0,Manual,first,Hybrid/CNG,435000.0
6746,Honda,Brio,2014.0,10.0,67000.0,Automatic,first,Petrol,290000.0
6747,Maruti Suzuki,Wagon-R,2012.0,12.0,95000.0,Manual,second,Hybrid/CNG,225000.0
6748,Mahindra,Thar,2021.0,3.0,70000.0,Manual,first,Diesel,1350000.0
6749,Hyundai,i20,2012.0,12.0,46000.0,Manual,second,Petrol,321000.0
6750,Renault,KWID,2020.0,4.0,52000.0,Automatic,first,Hybrid/CNG,350000.0
6751,Tata,Tiago,2020.0,4.0,70716.0,Manual,first,Petrol,490000.0
6752,Audi,Q3,2018.0,6.0,55000.0,Automatic,second,Diesel,1400000.0
6753,Maruti Suzuki,Baleno,2017.0,7.0,75000.0,Manual,first,Hybrid/CNG,580000.0
6754,Maruti Suzuki,Alto-800,2020.0,4.0,46000.0,Manual,first,Petrol,365000.0
6755,Hyundai,i10,2013.0,11.0,63000.0,Manual,second,Petrol,185000.0
6756,Maruti Suzuki,Swift,2018.0,6.0,55000.0,Automatic,second,Petrol,565000.0
6757,Hyundai,Grand i10 Nios,2022.0,2.0,35000.0,Automatic,first,Petrol,685000.0
6758,Hyundai,i20 Active,2016.0,8.0,63000.0,Manual,second,Hybrid/CNG,425000.0
